          Teff = 3500 K,  log g = 0.0,  [M/H] = -4.5

 WIRE  Johnson V+R   93    0.294 (0.0861)    0.462  0.252 (0.0149)   -0.084  0.630 (0.0029)
               LUT   94    0.505 (0.0640)    0.641  0.203 (0.0031)    0.201  0.507 (0.0067)
              TESS   95    0.247 (0.0797)    0.398  0.226 (0.0176)   -0.092  0.565 (0.0069)


          Teff = 17000 K,  log g = 3.5,  [M/H] = -4.5

 bolometric           0    0.731 (0.0144)    0.767  0.054 (0.0060)    0.651  0.134 (0.0085)
 Stromgren      u     1    0.379 (0.0626)    0.503  0.186 (0.0101)    0.100  0.465 (0.0017)
                v     2    0.377 (0.1003)    0.581  0.306 (0.0100)   -0.083  0.766 (0.0051)
                b     3    0.352 (0.0961)    0.545  0.290 (0.0113)   -0.084  0.726 (0.0028)
                y     4    0.307 (0.0876)    0.481  0.260 (0.0131)   -0.083  0.651 (0.0007)
 Johnson        U     5    0.365 (0.0778)    0.520  0.233 (0.0108)    0.015  0.583 (0.0006)
                B     6    0.364 (0.0983)    0.563  0.299 (0.0107)   -0.084  0.746 (0.0040)
                V     7    0.309 (0.0878)    0.483  0.261 (0.0130)   -0.083  0.653 (0.0007)
                R     8    0.255 (0.0750)    0.399  0.217 (0.0143)   -0.071  0.543 (0.0040)
                I     9    0.200 (0.0655)    0.322  0.183 (0.0157)   -0.075  0.459 (0.0070)
                J    10    0.159 (0.0566)    0.262  0.155 (0.0152)   -0.074  0.388 (0.0079)
                K    11    0.095 (0.0382)    0.161  0.099 (0.0130)   -0.054  0.248 (0.0083)
                L    12    0.062 (0.0289)    0.110  0.072 (0.0110)   -0.047  0.181 (0.0076)
                M    13    0.046 (0.0245)    0.086  0.060 (0.0100)   -0.044  0.149 (0.0072)
                N    14    0.029 (0.0218)    0.064  0.052 (0.0095)   -0.048  0.129 (0.0071)
 Cousins        Rc   15    0.265 (0.0776)    0.416  0.226 (0.0141)   -0.074  0.565 (0.0034)
                Ic   16    0.213 (0.0643)    0.335  0.182 (0.0147)   -0.059  0.454 (0.0062)
 Bessell        UX   17    0.371 (0.0752)    0.521  0.225 (0.0105)    0.033  0.563 (0.0007)
 Bessell        BX   18    0.363 (0.0981)    0.562  0.298 (0.0107)   -0.084  0.745 (0.0039)
 Bessell        B    19    0.364 (0.0983)    0.563  0.299 (0.0107)   -0.084  0.746 (0.0040)
 Bessell        V    20    0.308 (0.0877)    0.482  0.261 (0.0130)   -0.083  0.652 (0.0007)
 Bessell        R    21    0.265 (0.0775)    0.415  0.226 (0.0141)   -0.074  0.565 (0.0034)
 Bessell        I    22    0.209 (0.0646)    0.330  0.182 (0.0151)   -0.064  0.455 (0.0065)
 Tycho         TyB   23    0.368 (0.0984)    0.567  0.299 (0.0106)   -0.081  0.748 (0.0041)
               TyV   24    0.317 (0.0898)    0.496  0.268 (0.0128)   -0.084  0.669 (0.0004)
 Hipparchos    HIP   25    0.339 (0.0928)    0.525  0.279 (0.0117)   -0.080  0.698 (0.0019)
 KEPLER              26    0.300 (0.0852)    0.468  0.252 (0.0131)   -0.079  0.631 (0.0010)
 COROT SIS           27    0.308 (0.0863)    0.479  0.257 (0.0127)   -0.077  0.642 (0.0005)
 COROT EXO           28    0.305 (0.0858)    0.475  0.255 (0.0128)   -0.077  0.637 (0.0007)
 Geneva         U    29    0.383 (0.0639)    0.510  0.190 (0.0100)    0.098  0.476 (0.0015)
                B    30    0.368 (0.0990)    0.569  0.301 (0.0105)   -0.084  0.753 (0.0043)
                B1   31    0.371 (0.0998)    0.574  0.304 (0.0103)   -0.085  0.761 (0.0047)
                B2   32    0.360 (0.0976)    0.557  0.296 (0.0110)   -0.083  0.739 (0.0035)
                V    33    0.309 (0.0878)    0.483  0.261 (0.0130)   -0.083  0.653 (0.0007)
                V1   34    0.312 (0.0885)    0.488  0.264 (0.0129)   -0.084  0.659 (0.0005)
                G    35    0.291 (0.0840)    0.456  0.248 (0.0136)   -0.081  0.619 (0.0018)
 Vilnius        U    36    0.387 (0.0631)    0.512  0.188 (0.0097)    0.105  0.470 (0.0015)
                P    37    0.346 (0.0840)    0.513  0.251 (0.0120)   -0.030  0.626 (0.0003)
                X    38    0.376 (0.1008)    0.581  0.308 (0.0100)   -0.086  0.770 (0.0052)
                Y    39    0.352 (0.0961)    0.545  0.290 (0.0113)   -0.084  0.726 (0.0028)
                Z    40    0.323 (0.0909)    0.504  0.272 (0.0126)   -0.084  0.679 (0.0007)
                V    41    0.309 (0.0879)    0.483  0.261 (0.0130)   -0.083  0.653 (0.0007)
                S    42    0.252 (0.0751)    0.397  0.217 (0.0146)   -0.073  0.542 (0.0043)
 Milone         iz   43    0.184 (0.0645)    0.304  0.179 (0.0160)   -0.085  0.449 (0.0076)
                iJ   44    0.154 (0.0549)    0.254  0.150 (0.0151)   -0.071  0.375 (0.0081)
                iH   45    0.115 (0.0457)    0.196  0.121 (0.0147)   -0.066  0.302 (0.0090)
                iK   46    0.092 (0.0373)    0.157  0.096 (0.0128)   -0.052  0.241 (0.0083)
 YMS94         iz    47    0.184 (0.0645)    0.304  0.179 (0.0160)   -0.085  0.449 (0.0076)
               iJ    48    0.154 (0.0549)    0.254  0.150 (0.0151)   -0.071  0.375 (0.0081)
               iH    49    0.115 (0.0457)    0.196  0.121 (0.0147)   -0.066  0.302 (0.0090)
               iK    50    0.092 (0.0373)    0.157  0.096 (0.0128)   -0.052  0.241 (0.0083)
               iL    51    0.058 (0.0277)    0.104  0.069 (0.0106)   -0.046  0.173 (0.0074)
               iLp   52    0.054 (0.0264)    0.097  0.065 (0.0106)   -0.043  0.161 (0.0076)
               iM    53    0.043 (0.0242)    0.082  0.058 (0.0101)   -0.045  0.146 (0.0073)
               in    54    0.030 (0.0217)    0.064  0.051 (0.0095)   -0.047  0.128 (0.0071)
               iN    55    0.028 (0.0218)    0.062  0.052 (0.0095)   -0.050  0.130 (0.0071)
 Sloan DSS      u    56    0.377 (0.0698)    0.516  0.208 (0.0103)    0.065  0.521 (0.0010)
                g    57    0.347 (0.0952)    0.539  0.287 (0.0115)   -0.084  0.718 (0.0025)
                r    58    0.274 (0.0797)    0.429  0.233 (0.0140)   -0.076  0.583 (0.0029)
                i    59    0.222 (0.0665)    0.348  0.189 (0.0146)   -0.062  0.473 (0.0057)
                z    60    0.189 (0.0668)    0.312  0.186 (0.0166)   -0.090  0.465 (0.0079)
 HST STIS Ly_alpha   61    0.950 (0.0407)    0.881 -0.104 (0.0137)    1.105 -0.259 (0.0088)
            Fclear   62    0.890 (0.0176)    0.880 -0.015 (0.0152)    0.913 -0.037 (0.0145)
             Fsrf2   63    0.855 (0.0131)    0.878  0.034 (0.0156)    0.804  0.085 (0.0173)
              Fqtz   64    0.815 (0.0240)    0.876  0.091 (0.0147)    0.678  0.228 (0.0191)
              CIII   65    0.708 (0.0522)    0.829  0.182 (0.0086)    0.435  0.454 (0.0173)
              MgII   66    0.506 (0.0668)    0.647  0.210 (0.0042)    0.191  0.526 (0.0060)
            Nclear   67    0.726 (0.0354)    0.810  0.127 (0.0084)    0.536  0.316 (0.0144)
             Nsrf2   68    0.691 (0.0460)    0.797  0.160 (0.0070)    0.451  0.399 (0.0147)
              Nqtz   69    0.675 (0.0502)    0.790  0.172 (0.0062)    0.417  0.430 (0.0145)
             cn182   70    0.748 (0.0390)    0.842  0.140 (0.0107)    0.538  0.351 (0.0174)
             cn270   71    0.531 (0.0668)    0.673  0.212 (0.0029)    0.213  0.531 (0.0074)
            Oclear   72    0.332 (0.0830)    0.498  0.248 (0.0116)   -0.040  0.620 (0.0006)
         Oclear-lp   73    0.248 (0.0742)    0.391  0.214 (0.0145)   -0.074  0.536 (0.0044)
             [OII]   74    0.305 (0.0863)    0.472  0.251 (0.0155)   -0.073  0.629 (0.0034)
            [OIII]   75    0.328 (0.0918)    0.511  0.274 (0.0129)   -0.082  0.684 (0.0008)
 2MASS          J    76    0.157 (0.0556)    0.258  0.152 (0.0151)   -0.072  0.381 (0.0080)
 2MASS          H    77    0.116 (0.0453)    0.195  0.119 (0.0145)   -0.063  0.299 (0.0089)
 2MASS          Ks   78    0.095 (0.0380)    0.161  0.099 (0.0129)   -0.053  0.247 (0.0083)
 SWASP               79    0.322 (0.0899)    0.502  0.269 (0.0123)   -0.081  0.672 (0.0008)
 MOST                80    0.317 (0.0888)    0.493  0.265 (0.0125)   -0.080  0.662 (0.0005)
 GAIA (2006)    G    81    0.314 (0.0869)    0.486  0.259 (0.0125)   -0.075  0.648 (0.0004)
 GAIA (2010)    G    82    0.302 (0.0850)    0.470  0.252 (0.0129)   -0.076  0.630 (0.0009)
 GAIA (2010)    BP   83    0.328 (0.0898)    0.508  0.269 (0.0121)   -0.075  0.672 (0.0009)
 GAIA (2010)    RP   84    0.222 (0.0684)    0.352  0.194 (0.0151)   -0.069  0.486 (0.0059)
 GAIA (2010)  G_RV   85    0.177 (0.0644)    0.295  0.176 (0.0175)   -0.087  0.441 (0.0092)
 Milone        230   86    0.623 (0.0632)    0.763  0.209 (0.0027)    0.309  0.523 (0.0127)
               250   87    0.575 (0.0658)    0.716  0.213 (0.0008)    0.256  0.531 (0.0096)
               270   88    0.529 (0.0667)    0.671  0.212 (0.0030)    0.212  0.530 (0.0072)
               290   89    0.487 (0.0667)    0.626  0.209 (0.0052)    0.174  0.521 (0.0050)
               310   90    0.446 (0.0655)    0.580  0.201 (0.0072)    0.144  0.502 (0.0027)
               330   91    0.410 (0.0639)    0.538  0.193 (0.0088)    0.121  0.482 (0.0014)
 CaII triplet  858   92    0.173 (0.0633)    0.288  0.172 (0.0178)   -0.086  0.431 (0.0096)
 WIRE  Johnson V+R   93    0.280 (0.0809)    0.438  0.238 (0.0137)   -0.077  0.594 (0.0024)
               LUT   94    0.497 (0.0673)    0.638  0.211 (0.0045)    0.180  0.528 (0.0057)
              TESS   95    0.233 (0.0713)    0.370  0.204 (0.0149)   -0.073  0.511 (0.0052)


          Teff = 17000 K,  log g = 4.0,  [M/H] = -4.5

 bolometric           0    0.742 (0.0221)    0.794  0.078 (0.0045)    0.626  0.195 (0.0082)
 Stromgren      u     1    0.374 (0.0616)    0.496  0.183 (0.0096)    0.099  0.459 (0.0015)
                v     2    0.363 (0.1023)    0.569  0.309 (0.0121)   -0.100  0.772 (0.0031)
                b     3    0.342 (0.0961)    0.535  0.289 (0.0123)   -0.091  0.722 (0.0019)
                y     4    0.299 (0.0852)    0.468  0.253 (0.0125)   -0.081  0.634 (0.0005)
 Johnson        U     5    0.354 (0.0762)    0.505  0.227 (0.0114)    0.014  0.567 (0.0007)
                B     6    0.351 (0.0992)    0.551  0.299 (0.0123)   -0.097  0.747 (0.0024)
                V     7    0.301 (0.0855)    0.470  0.254 (0.0125)   -0.081  0.636 (0.0005)
                R     8    0.247 (0.0706)    0.385  0.206 (0.0125)   -0.062  0.515 (0.0027)
                I     9    0.192 (0.0590)    0.304  0.168 (0.0128)   -0.059  0.419 (0.0049)
                J    10    0.153 (0.0499)    0.246  0.140 (0.0120)   -0.057  0.349 (0.0055)
                K    11    0.091 (0.0325)    0.149  0.087 (0.0100)   -0.038  0.216 (0.0059)
                L    12    0.060 (0.0247)    0.102  0.063 (0.0086)   -0.035  0.159 (0.0056)
                M    13    0.044 (0.0211)    0.079  0.052 (0.0081)   -0.034  0.131 (0.0057)
                N    14    0.029 (0.0196)    0.060  0.047 (0.0083)   -0.042  0.118 (0.0061)
 Cousins        Rc   15    0.257 (0.0735)    0.401  0.216 (0.0125)   -0.066  0.539 (0.0023)
                Ic   16    0.208 (0.0589)    0.320  0.169 (0.0121)   -0.046  0.423 (0.0042)
 Bessell        UX   17    0.361 (0.0737)    0.508  0.220 (0.0109)    0.032  0.549 (0.0008)
 Bessell        BX   18    0.351 (0.0991)    0.550  0.298 (0.0123)   -0.096  0.745 (0.0023)
 Bessell        B    19    0.352 (0.0993)    0.551  0.299 (0.0123)   -0.097  0.747 (0.0024)
 Bessell        V    20    0.300 (0.0854)    0.470  0.254 (0.0125)   -0.081  0.635 (0.0005)
 Bessell        R    21    0.257 (0.0734)    0.401  0.215 (0.0125)   -0.066  0.538 (0.0023)
 Bessell        I    22    0.202 (0.0587)    0.314  0.168 (0.0124)   -0.049  0.420 (0.0045)
 Tycho         TyB   23    0.354 (0.0994)    0.554  0.299 (0.0124)   -0.095  0.748 (0.0023)
               TyV   24    0.308 (0.0878)    0.483  0.262 (0.0126)   -0.084  0.654 (0.0004)
 Hipparchos    HIP   25    0.328 (0.0922)    0.512  0.276 (0.0124)   -0.086  0.690 (0.0011)
 KEPLER              26    0.291 (0.0827)    0.455  0.245 (0.0125)   -0.077  0.613 (0.0008)
 COROT SIS           27    0.298 (0.0843)    0.465  0.250 (0.0124)   -0.077  0.626 (0.0005)
 COROT EXO           28    0.296 (0.0836)    0.461  0.248 (0.0125)   -0.077  0.621 (0.0006)
 Geneva         U    29    0.378 (0.0627)    0.503  0.187 (0.0096)    0.097  0.468 (0.0014)
                B    30    0.354 (0.1002)    0.555  0.302 (0.0124)   -0.098  0.754 (0.0025)
                B1   31    0.355 (0.1011)    0.558  0.304 (0.0125)   -0.101  0.761 (0.0025)
                B2   32    0.350 (0.0983)    0.547  0.296 (0.0123)   -0.094  0.739 (0.0022)
                V    33    0.300 (0.0854)    0.470  0.254 (0.0125)   -0.081  0.636 (0.0005)
                V1   34    0.304 (0.0863)    0.475  0.257 (0.0125)   -0.082  0.643 (0.0004)
                G    35    0.283 (0.0807)    0.443  0.239 (0.0125)   -0.076  0.598 (0.0012)
 Vilnius        U    36    0.382 (0.0622)    0.506  0.186 (0.0094)    0.103  0.465 (0.0014)
                P    37    0.331 (0.0809)    0.490  0.239 (0.0128)   -0.028  0.598 (0.0013)
                X    38    0.361 (0.1027)    0.567  0.310 (0.0122)   -0.104  0.775 (0.0031)
                Y    39    0.342 (0.0962)    0.535  0.289 (0.0123)   -0.092  0.723 (0.0019)
                Z    40    0.315 (0.0892)    0.492  0.266 (0.0125)   -0.085  0.666 (0.0005)
                V    41    0.300 (0.0855)    0.470  0.255 (0.0125)   -0.081  0.636 (0.0005)
                S    42    0.243 (0.0703)    0.379  0.205 (0.0128)   -0.064  0.512 (0.0031)
 Milone         iz   43    0.177 (0.0575)    0.285  0.162 (0.0131)   -0.067  0.406 (0.0054)
                iJ   44    0.148 (0.0484)    0.238  0.136 (0.0118)   -0.055  0.339 (0.0054)
                iH   45    0.110 (0.0386)    0.179  0.105 (0.0112)   -0.047  0.261 (0.0063)
                iK   46    0.089 (0.0317)    0.145  0.084 (0.0099)   -0.038  0.210 (0.0060)
 YMS94         iz    47    0.177 (0.0575)    0.285  0.163 (0.0131)   -0.067  0.406 (0.0054)
               iJ    48    0.148 (0.0484)    0.238  0.136 (0.0118)   -0.055  0.339 (0.0054)
               iH    49    0.110 (0.0386)    0.179  0.105 (0.0112)   -0.047  0.261 (0.0062)
               iK    50    0.089 (0.0317)    0.145  0.084 (0.0099)   -0.038  0.210 (0.0060)
               iL    51    0.056 (0.0238)    0.097  0.061 (0.0084)   -0.036  0.152 (0.0055)
               iLp   52    0.052 (0.0226)    0.089  0.057 (0.0084)   -0.033  0.141 (0.0058)
               iM    53    0.041 (0.0207)    0.075  0.051 (0.0082)   -0.035  0.127 (0.0058)
               in    54    0.029 (0.0196)    0.060  0.047 (0.0083)   -0.041  0.117 (0.0061)
               iN    55    0.027 (0.0197)    0.059  0.047 (0.0084)   -0.044  0.118 (0.0062)
 Sloan DSS      u    56    0.369 (0.0682)    0.505  0.203 (0.0103)    0.065  0.508 (0.0011)
                g    57    0.337 (0.0951)    0.527  0.285 (0.0124)   -0.091  0.713 (0.0016)
                r    58    0.266 (0.0758)    0.414  0.223 (0.0126)   -0.069  0.558 (0.0020)
                i    59    0.216 (0.0613)    0.334  0.177 (0.0122)   -0.049  0.442 (0.0038)
                z    60    0.179 (0.0591)    0.291  0.167 (0.0135)   -0.071  0.418 (0.0056)
 HST STIS Ly_alpha   61    0.969 (0.0283)    0.926 -0.065 (0.0123)    1.066 -0.162 (0.0092)
            Fclear   62    0.901 (0.0110)    0.922  0.031 (0.0127)    0.854  0.078 (0.0142)
             Fsrf2   63    0.862 (0.0217)    0.917  0.082 (0.0126)    0.739  0.205 (0.0166)
              Fqtz   64    0.818 (0.0378)    0.909  0.137 (0.0113)    0.612  0.342 (0.0178)
              CIII   65    0.707 (0.0627)    0.848  0.212 (0.0053)    0.390  0.529 (0.0154)
              MgII   66    0.503 (0.0689)    0.646  0.215 (0.0053)    0.180  0.538 (0.0051)
            Nclear   67    0.730 (0.0455)    0.835  0.156 (0.0058)    0.496  0.391 (0.0133)
             Nsrf2   68    0.692 (0.0555)    0.817  0.187 (0.0044)    0.412  0.467 (0.0133)
              Nqtz   69    0.676 (0.0593)    0.808  0.198 (0.0036)    0.379  0.495 (0.0130)
             cn182   70    0.750 (0.0507)    0.867  0.175 (0.0074)    0.487  0.438 (0.0158)
             cn270   71    0.528 (0.0697)    0.675  0.220 (0.0043)    0.199  0.549 (0.0063)
            Oclear   72    0.323 (0.0815)    0.485  0.243 (0.0115)   -0.042  0.608 (0.0005)
         Oclear-lp   73    0.240 (0.0695)    0.375  0.202 (0.0126)   -0.063  0.506 (0.0030)
             [OII]   74    0.285 (0.0766)    0.432  0.220 (0.0154)   -0.045  0.550 (0.0049)
            [OIII]   75    0.318 (0.0912)    0.499  0.272 (0.0129)   -0.089  0.679 (0.0006)
 2MASS          J    76    0.151 (0.0490)    0.242  0.137 (0.0119)   -0.055  0.343 (0.0054)
 2MASS          H    77    0.111 (0.0384)    0.180  0.104 (0.0111)   -0.045  0.260 (0.0062)
 2MASS          Ks   78    0.091 (0.0324)    0.149  0.086 (0.0099)   -0.038  0.216 (0.0059)
 SWASP               79    0.313 (0.0886)    0.489  0.264 (0.0124)   -0.083  0.660 (0.0005)
 MOST                80    0.308 (0.0871)    0.481  0.260 (0.0124)   -0.082  0.649 (0.0004)
 GAIA (2006)    G    81    0.304 (0.0851)    0.473  0.253 (0.0124)   -0.076  0.633 (0.0004)
 GAIA (2010)    G    82    0.293 (0.0827)    0.457  0.245 (0.0124)   -0.075  0.613 (0.0007)
 GAIA (2010)    BP   83    0.318 (0.0886)    0.495  0.264 (0.0124)   -0.078  0.661 (0.0006)
 GAIA (2010)    RP   84    0.215 (0.0628)    0.335  0.181 (0.0126)   -0.056  0.452 (0.0041)
 GAIA (2010)  G_RV   85    0.170 (0.0546)    0.271  0.152 (0.0137)   -0.058  0.380 (0.0066)
 Milone        230   86    0.621 (0.0698)    0.773  0.227 (0.0006)    0.281  0.567 (0.0111)
               250   87    0.572 (0.0704)    0.722  0.225 (0.0024)    0.235  0.562 (0.0084)
               270   88    0.526 (0.0695)    0.672  0.219 (0.0044)    0.198  0.547 (0.0062)
               290   89    0.483 (0.0682)    0.624  0.212 (0.0060)    0.165  0.530 (0.0043)
               310   90    0.441 (0.0661)    0.576  0.202 (0.0075)    0.138  0.506 (0.0025)
               330   91    0.405 (0.0636)    0.533  0.192 (0.0087)    0.116  0.480 (0.0014)
 CaII triplet  858   92    0.167 (0.0529)    0.264  0.146 (0.0138)   -0.053  0.366 (0.0069)
 WIRE  Johnson V+R   93    0.272 (0.0775)    0.425  0.229 (0.0125)   -0.071  0.572 (0.0016)
               LUT   94    0.493 (0.0695)    0.637  0.217 (0.0056)    0.168  0.541 (0.0049)
              TESS   95    0.226 (0.0661)    0.353  0.191 (0.0126)   -0.061  0.478 (0.0036)


          Teff = 17000 K,  log g = 4.5,  [M/H] = -4.5

 bolometric           0    0.748 (0.0289)    0.813  0.098 (0.0025)    0.601  0.244 (0.0071)
 Stromgren      u     1    0.372 (0.0618)    0.495  0.184 (0.0095)    0.095  0.461 (0.0014)
                v     2    0.353 (0.1031)    0.559  0.309 (0.0136)   -0.111  0.773 (0.0017)
                b     3    0.337 (0.0962)    0.529  0.288 (0.0130)   -0.094  0.719 (0.0012)
                y     4    0.295 (0.0839)    0.461  0.250 (0.0121)   -0.080  0.625 (0.0004)
 Johnson        U     5    0.347 (0.0746)    0.494  0.221 (0.0116)    0.015  0.553 (0.0012)
                B     6    0.342 (0.0995)    0.541  0.298 (0.0134)   -0.104  0.744 (0.0013)
                V     7    0.296 (0.0842)    0.463  0.251 (0.0122)   -0.080  0.627 (0.0004)
                R     8    0.243 (0.0683)    0.377  0.201 (0.0114)   -0.058  0.502 (0.0019)
                I     9    0.188 (0.0553)    0.294  0.159 (0.0111)   -0.050  0.398 (0.0036)
                J    10    0.149 (0.0463)    0.237  0.132 (0.0102)   -0.048  0.329 (0.0040)
                K    11    0.090 (0.0297)    0.143  0.081 (0.0084)   -0.031  0.202 (0.0046)
                L    12    0.059 (0.0227)    0.099  0.059 (0.0074)   -0.030  0.148 (0.0046)
                M    13    0.044 (0.0196)    0.077  0.049 (0.0071)   -0.030  0.124 (0.0048)
                N    14    0.029 (0.0185)    0.059  0.045 (0.0076)   -0.038  0.112 (0.0055)
 Cousins        Rc   15    0.253 (0.0713)    0.393  0.210 (0.0116)   -0.062  0.526 (0.0016)
                Ic   16    0.205 (0.0563)    0.314  0.163 (0.0107)   -0.040  0.408 (0.0029)
 Bessell        UX   17    0.355 (0.0725)    0.499  0.215 (0.0111)    0.032  0.539 (0.0011)
 Bessell        BX   18    0.342 (0.0994)    0.540  0.297 (0.0134)   -0.104  0.743 (0.0013)
 Bessell        B    19    0.343 (0.0996)    0.541  0.298 (0.0134)   -0.104  0.744 (0.0013)
 Bessell        V    20    0.296 (0.0841)    0.463  0.250 (0.0122)   -0.080  0.626 (0.0004)
 Bessell        R    21    0.253 (0.0713)    0.393  0.210 (0.0116)   -0.062  0.525 (0.0016)
 Bessell        I    22    0.200 (0.0556)    0.307  0.161 (0.0108)   -0.041  0.402 (0.0032)
 Tycho         TyB   23    0.344 (0.0996)    0.543  0.298 (0.0135)   -0.102  0.744 (0.0011)
               TyV   24    0.303 (0.0867)    0.475  0.258 (0.0125)   -0.084  0.645 (0.0004)
 Hipparchos    HIP   25    0.321 (0.0917)    0.503  0.274 (0.0129)   -0.089  0.684 (0.0006)
 KEPLER              26    0.286 (0.0814)    0.447  0.242 (0.0122)   -0.076  0.604 (0.0007)
 COROT SIS           27    0.292 (0.0831)    0.457  0.247 (0.0123)   -0.078  0.617 (0.0006)
 COROT EXO           28    0.290 (0.0824)    0.453  0.244 (0.0123)   -0.077  0.611 (0.0006)
 Geneva         U    29    0.376 (0.0627)    0.501  0.187 (0.0095)    0.095  0.468 (0.0013)
                B    30    0.344 (0.1003)    0.544  0.300 (0.0136)   -0.106  0.750 (0.0012)
                B1   31    0.343 (0.1008)    0.543  0.301 (0.0139)   -0.109  0.753 (0.0010)
                B2   32    0.342 (0.0987)    0.539  0.295 (0.0132)   -0.101  0.738 (0.0013)
                V    33    0.296 (0.0842)    0.463  0.251 (0.0122)   -0.080  0.627 (0.0004)
                V1   34    0.299 (0.0852)    0.468  0.254 (0.0122)   -0.082  0.635 (0.0004)
                G    35    0.279 (0.0791)    0.435  0.235 (0.0119)   -0.073  0.587 (0.0008)
 Vilnius        U    36    0.380 (0.0626)    0.505  0.187 (0.0093)    0.099  0.468 (0.0013)
                P    37    0.321 (0.0775)    0.473  0.228 (0.0130)   -0.021  0.570 (0.0021)
                X    38    0.349 (0.1032)    0.555  0.309 (0.0138)   -0.115  0.772 (0.0015)
                Y    39    0.337 (0.0963)    0.529  0.288 (0.0129)   -0.095  0.720 (0.0012)
                Z    40    0.310 (0.0884)    0.486  0.264 (0.0125)   -0.085  0.659 (0.0005)
                V    41    0.296 (0.0842)    0.463  0.251 (0.0122)   -0.080  0.627 (0.0004)
                S    42    0.236 (0.0676)    0.368  0.198 (0.0117)   -0.061  0.495 (0.0022)
 Milone         iz   43    0.172 (0.0538)    0.275  0.154 (0.0111)   -0.059  0.385 (0.0038)
                iJ   44    0.145 (0.0448)    0.230  0.127 (0.0100)   -0.045  0.317 (0.0040)
                iH   45    0.107 (0.0349)    0.171  0.096 (0.0091)   -0.038  0.241 (0.0046)
                iK   46    0.087 (0.0289)    0.139  0.078 (0.0083)   -0.031  0.195 (0.0046)
 YMS94         iz    47    0.172 (0.0539)    0.275  0.154 (0.0111)   -0.059  0.385 (0.0038)
               iJ    48    0.145 (0.0448)    0.230  0.127 (0.0100)   -0.045  0.317 (0.0040)
               iH    49    0.107 (0.0349)    0.171  0.096 (0.0091)   -0.038  0.241 (0.0046)
               iK    50    0.087 (0.0289)    0.139  0.078 (0.0083)   -0.031  0.195 (0.0046)
               iL    51    0.055 (0.0220)    0.094  0.058 (0.0072)   -0.031  0.145 (0.0045)
               iLp   52    0.051 (0.0209)    0.087  0.054 (0.0072)   -0.030  0.134 (0.0047)
               iM    53    0.040 (0.0189)    0.071  0.047 (0.0071)   -0.031  0.119 (0.0048)
               in    54    0.029 (0.0186)    0.060  0.046 (0.0075)   -0.039  0.114 (0.0054)
               iN    55    0.028 (0.0186)    0.058  0.045 (0.0078)   -0.039  0.112 (0.0057)
 Sloan DSS      u    56    0.366 (0.0673)    0.499  0.200 (0.0103)    0.065  0.501 (0.0012)
                g    57    0.330 (0.0950)    0.519  0.284 (0.0130)   -0.096  0.710 (0.0009)
                r    58    0.261 (0.0738)    0.407  0.218 (0.0117)   -0.066  0.545 (0.0014)
                i    59    0.213 (0.0588)    0.327  0.171 (0.0108)   -0.043  0.428 (0.0027)
                z    60    0.174 (0.0545)    0.278  0.156 (0.0115)   -0.060  0.389 (0.0041)
 HST STIS Ly_alpha   61    0.981 (0.0189)    0.956 -0.039 (0.0098)    1.040 -0.097 (0.0079)
            Fclear   62    0.906 (0.0166)    0.949  0.064 (0.0096)    0.811  0.159 (0.0126)
             Fsrf2   63    0.866 (0.0319)    0.943  0.115 (0.0092)    0.692  0.289 (0.0147)
              Fqtz   64    0.819 (0.0480)    0.930  0.167 (0.0078)    0.568  0.418 (0.0158)
              CIII   65    0.707 (0.0698)    0.861  0.231 (0.0026)    0.361  0.577 (0.0136)
              MgII   66    0.501 (0.0709)    0.648  0.221 (0.0061)    0.170  0.551 (0.0046)
            Nclear   67    0.733 (0.0529)    0.851  0.177 (0.0034)    0.467  0.443 (0.0119)
             Nsrf2   68    0.693 (0.0623)    0.830  0.206 (0.0020)    0.385  0.514 (0.0119)
              Nqtz   69    0.676 (0.0657)    0.820  0.215 (0.0014)    0.353  0.538 (0.0116)
             cn182   70    0.751 (0.0591)    0.884  0.199 (0.0046)    0.453  0.497 (0.0141)
             cn270   71    0.527 (0.0722)    0.677  0.226 (0.0053)    0.188  0.564 (0.0056)
            Oclear   72    0.317 (0.0806)    0.478  0.240 (0.0115)   -0.043  0.601 (0.0004)
         Oclear-lp   73    0.236 (0.0670)    0.367  0.196 (0.0114)   -0.059  0.491 (0.0021)
             [OII]   74    0.278 (0.0670)    0.405  0.191 (0.0142)   -0.009  0.478 (0.0050)
            [OIII]   75    0.313 (0.0904)    0.492  0.268 (0.0132)   -0.089  0.671 (0.0007)
 2MASS          J    76    0.148 (0.0455)    0.234  0.129 (0.0101)   -0.046  0.323 (0.0040)
 2MASS          H    77    0.108 (0.0348)    0.172  0.096 (0.0091)   -0.036  0.241 (0.0045)
 2MASS          Ks   78    0.090 (0.0295)    0.143  0.080 (0.0084)   -0.031  0.200 (0.0046)
 SWASP               79    0.307 (0.0878)    0.481  0.261 (0.0126)   -0.085  0.653 (0.0004)
 MOST                80    0.302 (0.0862)    0.473  0.257 (0.0125)   -0.083  0.642 (0.0004)
 GAIA (2006)    G    81    0.298 (0.0841)    0.465  0.250 (0.0124)   -0.077  0.625 (0.0005)
 GAIA (2010)    G    82    0.288 (0.0814)    0.449  0.241 (0.0122)   -0.074  0.604 (0.0007)
